City,Country,Date,Medium,Page,Region,Section,Section (group),Exits,Goal Conversion Rate,Number of Records,Pageviews,Pageviews per Visitor,Time on Page,Time on Page per Visitor,Total Downloads,Unique Visitors,Visits
Grapevine,United States,11/19/2014,organic,/gallery/us-population-race,North America,Examples,Case Studies,10,0.0016,1,21,2.1,1620,162,0.0496,10,31
New York,United States,11/19/2014,organic,/gallery/us-population-race,North America,Examples,Case Studies,10,0.0035,1,43,4.3,1730,173,0.147,10,42
Oshkosh,United States,11/19/2014,organic,/gallery/where-do-non-tax-payers-live,North America,Examples,Case Studies,10,0.0012,1,10,1,840,84,0.0684,10,57
Unionville,Canada,11/19/2014,referral,/gallery/blackjack-vegas,North America,Examples,Case Studies,60,0.003,1,228,3.8,9660,161,0.648,60,216
New York,United States,11/19/2014,referral,/gallery,North America,Examples,Case Studies,0,0.018181818,1,26,2.6,69,6.9,1,10,55
Gates Mills,United States,11/19/2014,referral,/gallery?elq=1b9cd652231147ec8beed73f1e2d04c6,North America,Examples,Case Studies,0,0.0018,1,27,2.7,237,23.7,0.09,10,50
Boston,United States,11/19/2014,referral,/gallery/arab-spring,North America,Examples,Case Studies,10,0.021276596,1,19,1.9,1190,119,1,10,47
Daytona Beach,United States,11/19/2014,referral,/gallery/beautiful-and-dangerous-history,North America,Examples,Case Studies,10,0.0034,1,27,2.7,450,45,0.1258,10,37
Seattle,United States,11/19/2014,referral,/gallery/conf12-tweet-tracker,North America,Examples,Case Studies,10,0.0012,1,41,4.1,1590,159,0.0708,10,59
Boston,United States,11/19/2014,referral,/gallery/ontario-baby-names-1,North America,Examples,Case Studies,10,0.0036,1,33,3.3,1670,167,0.0972,10,27
Grass Valley,United States,11/19/2014,referral,/gallery/ontario-baby-names-1,North America,Examples,Case Studies,10,0.0031,1,42,4.2,1080,108,0.1736,10,56
New York,United States,11/19/2014,referral,/gallery/ontario-baby-names-1,North America,Examples,Case Studies,10,0.0013,1,48,4.8,560,56,0.0338,10,26
Hopkinton,United States,11/19/2014,(none),/download,North America,Register,Events/Training,10,0.004,1,13,1.3,1420,142,0.22,10,55
Marblehead,United States,11/19/2014,(none),/download,North America,Register,Events/Training,0,0.025641026,1,12,1.2,40,4,1,10,39
San Luis Obispo,United States,11/19/2014,(none),/download,North America,Register,Events/Training,0,0.0017,1,12,1.2,99,9.9,0.102,10,60
St Louis,United States,11/19/2014,(none),/download,North America,Register,Events/Training,20,0.020833333,1,78,3.9,1740,87,1,20,48
Washington,United States,11/19/2014,(none),/download,North America,Register,Events/Training,10,0.0013,1,19,1.9,1370,137,0.026,10,20
Los Angeles,United States,11/19/2014,cpc,/download,North America,Register,Events/Training,10,0.0031,1,27,2.7,1100,110,0.0992,10,32
Melrose Park,United States,11/19/2014,cpc,/download,North America,Register,Events/Training,0,0.0019,1,19,1.9,227,22.7,0.1007,10,53
Costa Mesa,United States,11/19/2014,organic,/download,North America,Register,Events/Training,10,0.0018,1,39,3.9,1510,151,0.0864,10,48
Longview,United States,11/19/2014,organic,/download,North America,Register,Events/Training,0,0.0029,1,19,1.9,30,3,0.1508,10,52
Plainfield,United States,11/19/2014,organic,/download,North America,Register,Events/Training,0,0.0034,1,49,4.9,406,40.6,0.085,10,25
Vancouver,Canada,11/19/2014,referral,/download,North America,Register,Events/Training,60,0.0035,1,84,1.4,5040,84,1.113,60,318
Tlalnepantla,Mexico,11/19/2014,referral,/download,North America,Register,Events/Training,100,0.012195122,1,480,2.171945701,4400,19.909502262,5,221,410
Boston,United States,11/19/2014,referral,/download,North America,Register,Events/Training,0,0.0012,1,22,2.2,99,9.9,0.0336,10,28
Bryn Mawr,United States,11/19/2014,referral,/download,North America,Register,Events/Training,0,0.0037,1,41,4.1,178,17.8,0.074,10,20
Champaign,United States,11/19/2014,referral,/download,North America,Register,Events/Training,10,0.0037,1,18,1.8,1730,173,0.1332,10,36
San Diego,United States,11/19/2014,referral,/download,North America,Register,Events/Training,0,0.0015,1,28,2.8,119,11.9,0.0495,10,33
Tampa,United States,11/19/2014,referral,/download,North America,Register,Events/Training,0,0.027777778,1,10,1,148,14.8,1,10,36
Minneapolis,United States,11/19/2014,(none),/examples?elq=eb9c0a434e964120af5baa9d1e11bc14,North America,Training,Events/Training,10,0.0031,1,36,3.6,1250,125,0.1364,10,44
Columbus,United States,11/19/2014,organic,/examples,North America,Training,Events/Training,10,0.0022,1,41,4.1,1650,165,0.1298,10,59
New York,United States,11/19/2014,organic,/examples,North America,Training,Events/Training,0,0.0038,1,18,1.8,99,9.9,0.2204,10,58
Wexford,United States,11/19/2014,organic,/examples,North America,Training,Events/Training,0,0.0022,1,14,1.4,851,85.1,0.066,10,30
Portland,United States,11/19/2014,referral,/examples?elq=86d6690ae35a4f7d8a60794a9775246f,North America,Training,Events/Training,0,0.0017,1,32,3.2,2107,210.7,0.0612,10,36
Oakland,United States,11/19/2014,referral,/examples?elq=b8437e04d7d84b8586cf812441e75e0c,North America,Training,Events/Training,0,0.001,1,43,4.3,5232,523.2,0.027,10,27
Deux-Montagnes,Canada,11/19/2014,(none),index.htm,North America,User,User Generated,36,0.0031,1,162,4.5,4284,119,1.0044,36,324
New Westminster,Canada,11/19/2014,(none),index.htm,North America,User,User Generated,60,0.0022,1,204,2.266666667,7122,79.133333333,0.66,90,300
North Vancouver,Canada,11/19/2014,(none),index.htm,North America,User,User Generated,42,0.0014,1,210,5,2790,66.428571429,0.2772,42,198
Vancouver,Canada,11/19/2014,(none),index.htm,North America,User,User Generated,138,0.0015,1,624,4.521739130,7452,54,0.432,138,288
Bethesda,United States,11/19/2014,(none),/,North America,User,User Generated,10,0.0033,1,46,4.6,1200,120,0.1221,10,37
New York,United States,11/19/2014,(none),/,North America,User,User Generated,0,0.001,1,33,3.3,109,10.9,0.04,10,40
Owings Mills,United States,11/19/2014,(none),/how-it-works,North America,User,User Generated,18,0.0025,1,60,3.333333333,257,14.277777778,0.095,18,38
Santa Ana,United States,11/19/2014,(none),/knowledgebase/sharing-views,North America,User,User Generated,3,0.0017,1,14,4.666666667,405,135,0.0782,3,46
Appleton,United States,11/19/2014,(none),index.htm,North America,User,User Generated,2,0.0028,1,4,2,330,165,0.0336,2,12
Chicago,United States,11/19/2014,(none),index.htm,North America,User,User Generated,3,0.003,1,5,1.666666667,186,62,0.042,3,14
Durham,United States,11/19/2014,(none),index.htm,North America,User,User Generated,10,0.0016,1,25,2.5,480,48,0.0912,10,57
East Lansing,United States,11/19/2014,(none),index.htm,North America,User,User Generated,7,0.0017,1,10,1.428571429,1043,149,0.0731,7,43
Fisherville,United States,11/19/2014,(none),index.htm,North America,User,User Generated,10,0.0016,1,53,2.409090909,712,32.363636364,0.1072,22,67
Frankfort,United States,11/19/2014,(none),index.htm,North America,User,User Generated,0,0.0014,1,51,3.4,15757,1050.466666667,0.0616,15,44
Lakewood,United States,11/19/2014,(none),index.htm,North America,User,User Generated,5,0.0013,1,11,2.2,350,70,0.0702,5,54
Lawrence,United States,11/19/2014,(none),index.htm,North America,User,User Generated,10,0.0019,1,84,4.941176471,19743,1161.352941176,0.1064,17,56
New York,United States,11/19/2014,(none),index.htm,North America,User,User Generated,8,0.0019,1,34,4.25,69,8.625,0.1634,8,86
Norfolk,United States,11/19/2014,(none),index.htm,North America,User,User Generated,8,0.0029,1,21,2.625,1096,137,0.1276,8,44
San Diego,United States,11/19/2014,(none),index.htm,North America,User,User Generated,9,0.0038,1,18,2,783,87,0.1672,9,44
San Francisco,United States,11/19/2014,(none),index.htm,North America,User,User Generated,3,0.001,1,9,3,270,90,0.023,3,23
San Jose,United States,11/19/2014,(none),index.htm,North America,User,User Generated,14,0.0024,1,38,2.714285714,7824,558.857142857,0.0888,14,37
Washington,United States,11/19/2014,(none),index.htm,North America,User,User Generated,10,0.0019,1,99,4.95,10524,526.2,0.0798,20,42
Melrose Park,United States,11/19/2014,cpc,/,North America,User,User Generated,0,0.004,1,16,1.6,109,10.9,0.116,10,29
Bridgeton,United States,11/19/2014,cpc,/knowledgebase/sharing-views,North America,User,User Generated,10,0.0031,1,58,1.757575758,1485,45,0.1581,33,51
Minneapolis,United States,11/19/2014,email,/how-it-works,North America,User,User Generated,10,0.012987013,1,70,2.058823529,4080,120,1,34,77
Toronto,Canada,11/19/2014,organic,/,North America,User,User Generated,0,0.0037,1,276,4.6,354,5.9,0.4884,60,132
Montreal,Canada,11/19/2014,organic,index.htm,North America,User,User Generated,48,0.018181818,1,228,4.75,6048,126,6,48,330
Buffalo,United States,11/19/2014,organic,/,North America,User,User Generated,10,0.0025,1,40,2,59,2.95,0.12,20,48
Chantilly,United States,11/19/2014,organic,/,North America,User,User Generated,0,0.0039,1,50,5,20,2,0.1794,10,46
Chicago,United States,11/19/2014,organic,/,North America,User,User Generated,0,0.0013,1,76,3.8,2621,131.05,0.0585,20,45
Costa Mesa,United States,11/19/2014,organic,/,North America,User,User Generated,10,0.0013,1,18,1.8,630,63,0.0728,10,56
New York,United States,11/19/2014,organic,/,North America,User,User Generated,10,0.0036,1,17,1.7,10,1,0.198,10,55
San Jose,United States,11/19/2014,organic,/,North America,User,User Generated,0,0.0028,1,14,1.4,69,6.9,0.1036,10,37
South San Francisco,United States,11/19/2014,organic,/,North America,User,User Generated,0,0.0015,1,34,3.4,40,4,0.087,10,58
Tampa,United States,11/19/2014,organic,/,North America,User,User Generated,10,0.0024,1,28,2.8,1230,123,0.1176,10,49
Tuscaloosa,United States,11/19/2014,organic,/,North America,User,User Generated,0,0.0022,1,23,2.3,49,4.9,0.1078,10,49
Chicago,United States,11/19/2014,organic,/faq,North America,User,User Generated,0,0.0039,1,19,1.9,237,23.7,0.1989,10,51
Columbus,United States,11/19/2014,organic,/knowledgebase/all,North America,User,User Generated,0,0.0019,1,55,4.583333333,1424,118.666666667,0.0798,12,42
Gulfport,United States,11/19/2014,organic,/knowledgebase/all,North America,User,User Generated,0,0.0022,1,29,3.222222222,148,16.444444444,0.1254,9,57
New York,United States,11/19/2014,organic,/knowledgebase/all,North America,User,User Generated,0,0.016949153,1,109,4.954545455,1187,53.954545455,1,22,59
San Francisco,United States,11/19/2014,organic,/knowledgebase/all?page=1,North America,User,User Generated,0,0.023255814,1,128,4.413793103,386,13.310344828,1,29,43
Baton Rouge,United States,11/19/2014,organic,/node/1658,North America,User,User Generated,7,0.0034,1,23,3.285714286,1246,178,0.0918,7,27
Longview,United States,11/19/2014,organic,/upgrade,North America,User,User Generated,10,0.0027,1,36,3.6,69,6.9,0.081,10,30
Vancouver,Canada,11/19/2014,referral,/,North America,User,User Generated,0,0.0028,1,90,1.5,294,4.9,0.4872,60,174
Don Mills,Canada,11/19/2014,referral,/how-it-works,North America,User,User Generated,0,0.003,1,426,2.629629630,21546,133,1.08,162,360
Cranberry Township,United States,11/19/2014,referral,/,North America,User,User Generated,10,0.019607843,1,48,4.8,1130,113,1,10,51
Dyer,United States,11/19/2014,referral,/,North America,User,User Generated,0,0.0018,1,21,2.1,2621,262.1,0.0684,10,38
Hercules,United States,11/19/2014,referral,/,North America,User,User Generated,10,0.0019,1,14,1.4,1130,113,0.0741,10,39
Lansing,United States,11/19/2014,referral,/,North America,User,User Generated,0,0.002,1,20,2,2245,224.5,0.116,10,58
New York,United States,11/19/2014,referral,/,North America,User,User Generated,0,0.0015,1,46,4.6,485,48.5,0.063,10,42
Parker,United States,11/19/2014,referral,/,North America,User,User Generated,10,0.0037,1,34,3.4,480,48,0.0814,10,22
Portland,United States,11/19/2014,referral,/,North America,User,User Generated,0,0.0015,1,25,2.5,79,7.9,0.045,10,30
Tuscaloosa,United States,11/19/2014,referral,/,North America,User,User Generated,0,0.0026,1,50,5,79,7.9,0.1326,10,51
Boston,United States,11/19/2014,referral,/how-it-works,North America,User,User Generated,19,0.002,1,74,3.894736842,950,50,0.12,19,60
Perth,Australia,11/19/2014,(none),/gallery/ontario-baby-names-1,Oceania,Examples,Case Studies,60,0.0019,1,174,2.9,2760,46,0.4674,60,246
Sydney,Australia,11/19/2014,cpc,/gallery,Oceania,Examples,Case Studies,60,0.0016,1,282,4.7,948,15.8,0.4128,60,258
Melbourne,Australia,11/19/2014,email,/gallery/ontario-baby-names-1,Oceania,Examples,Case Studies,60,0.018181818,1,192,3.2,6648,110.8,6,60,330
Sydney,Australia,11/19/2014,email,/gallery/ontario-baby-names-1,Oceania,Examples,Case Studies,60,0.0011,1,132,2.2,6540,109,0.3894,60,354
Sydney,Australia,11/19/2014,organic,/gallery,Oceania,Examples,Case Studies,0,0.041666667,1,180,3,17034,283.9,6,60,144
Sydney,Australia,11/19/2014,referral,/gallery/ontario-baby-names-1,Oceania,Examples,Case Studies,60,0.019607843,1,180,3,3540,59,6,60,306
Melbourne,Australia,11/19/2014,(none),/download,Oceania,Register,Events/Training,0,0.014705882,1,132,1.1,1362,11.35,6,120,408
Perth,Australia,11/19/2014,organic,/download,Oceania,Register,Events/Training,60,0.017241379,1,300,5,187362,3122.7,6,60,348
Sydney,Australia,11/19/2014,referral,/download,Oceania,Register,Events/Training,0,0.003,1,228,3.8,1128,18.8,0.954,60,318
Melbourne,Australia,11/19/2014,(none),index.htm,Oceania,User,User Generated,102,0.016129032,1,366,3.588235294,19764,193.764705882,6,102,372
Melbourne,Australia,11/19/2014,organic,/,Oceania,User,User Generated,0,0.0017,1,438,3.65,774,6.45,0.357,120,210
Auckland,New Zealand,11/19/2014,organic,/,Oceania,User,User Generated,0,0.0035,1,120,2,1480,24.666666667,1.855,60,530
Neuquen,Argentina,11/19/2014,referral,/gallery,South America,Examples,Case Studies,60,0.0037,1,114,1.9,4500,75,0.7992,60,216
Joao Pessoa,Brazil,11/19/2014,(none),index.htm,South America,User,User Generated,80,0.018181818,1,312,3,31496,302.846153846,8,104,440
Rio de Janeiro,Brazil,11/19/2014,(none),index.htm,South America,User,User Generated,40,0.0025,1,192,4.8,79448,1986.2,0.44,40,176
Sao Paulo,Brazil,11/19/2014,(none),index.htm,South America,User,User Generated,112,0.0017,1,416,3.25,81192,634.3125,1.2648,128,744
Rio das Ostras,Brazil,11/19/2014,organic,index.htm,South America,User,User Generated,48,0.0027,1,88,1.833333333,712,14.833333333,0.9072,48,336
Buenos Aires,Argentina,11/19/2014,referral,/how-it-works,South America,User,User Generated,0,0.0036,1,390,2.407407407,120,0.740740741,1.5336,162,426
La Plata,Argentina,11/19/2014,referral,/how-it-works,South America,User,User Generated,60,0.013698630,1,762,4.703703704,7938,49,6,162,438
Wuhan,China,11/20/2014,organic,/gallery,Asia,Examples,Case Studies,0,0.0023,1,384,4.8,3248,40.6,0.6624,80,288
Makati,Philippines,11/20/2014,organic,/gallery/debate-words,Asia,Examples,Case Studies,100,0.020833333,1,240,3.380281690,8600,121.126760563,10,71,480
Gurgaon,India,11/20/2014,referral,/gallery/taleof100,Asia,Examples,Case Studies,60,0.0027,1,162,2.7,9180,153,0.7776,60,288
Shinjuku,Japan,11/20/2014,(none),/download,Asia,Register,Events/Training,0,0.02,1,140,1.4,3300,33,10,100,500
Kuala Lumpur,Malaysia,11/20/2014,organic,/download,Asia,Register,Events/Training,100,0.0019,1,420,4.2,4300,43,0.684,100,360
Chiyoda,Japan,11/20/2014,referral,/download,Asia,Register,Events/Training,0,0.001,1,270,2.7,5500,55,0.22,100,220
Bangalore,India,11/20/2014,(none),/examples,Asia,Training,Events/Training,60,0.0015,1,198,3.3,2760,46,0.198,60,132
Beijing,China,11/20/2014,(none),index.htm,Asia,User,User Generated,136,0.0015,1,160,1.176470588,46688,343.294117647,0.768,136,512
Bangalore,India,11/20/2014,(none),index.htm,Asia,User,User Generated,60,0.0035,1,276,3.285714286,35016,416.857142857,1.197,84,342
New Delhi,India,11/20/2014,(none),index.htm,Asia,User,User Generated,120,0.0021,1,150,1.136363636,15312,116,0.4032,132,192
Pune,India,11/20/2014,(none),index.htm,Asia,User,User Generated,24,0.033333333,1,72,3,3576,149,6,24,180
Bandar Baru Bangi,Malaysia,11/20/2014,(none),index.htm,Asia,User,User Generated,100,0.0039,1,360,3.6,15000,150,1.209,100,310
Singapore,Singapore,11/20/2014,(none),/,Asia,User,User Generated,200,0.0025,1,760,3.8,34400,172,1.35,200,540
Beijing,China,11/20/2014,organic,/,Asia,User,User Generated,80,0.0024,1,216,2.7,9760,122,0.6912,80,288
Shanghai,China,11/20/2014,organic,/,Asia,User,User Generated,0,0.0016,1,400,5,3248,40.6,0.3456,80,216
Shenzhen,China,11/20/2014,organic,/,Asia,User,User Generated,0,0.0039,1,112,1.4,952,11.9,0.8424,80,216
Chennai,India,11/20/2014,organic,/,Asia,User,User Generated,0,0.002,1,246,4.1,8484,141.4,0.444,60,222
Ahmedabad,India,11/20/2014,organic,/faq,Asia,User,User Generated,60,0.0017,1,192,3.2,5520,92,0.4386,60,258
Ahmedabad,India,11/20/2014,organic,/how-it-works,Asia,User,User Generated,60,0.0013,1,198,1.5,18216,138,0.3276,132,252
Singapore,Singapore,11/20/2014,organic,/,Asia,User,User Generated,0,0.029411765,1,740,3.7,3260,16.3,10,200,340
Chungli,Taiwan,11/20/2014,organic,/knowledgebase/best-practices-designing-piecees-and-dashboards,Asia,User,User Generated,200,0.0024,1,550,2.2,18500,74,1.368,250,570
Bratislava,Slovakia,11/20/2014,(none),/gallery,Europe,Examples,Case Studies,590,0.0021,1,730,1.237288136,48970,83,1.995,590,950
London,United Kingdom,11/20/2014,(none),/gallery/ontario-baby-names-1,Europe,Examples,Case Studies,120,0.004,1,488,4.066666667,276,2.3,1.168,120,292
Poplar,United Kingdom,11/20/2014,cpc,/gallery/why-do-customers-change-banks,Europe,Examples,Case Studies,0,0.0025,1,112,1.4,31136,389.2,0.33,80,132
Oslo,Norway,11/20/2014,organic,/gallery/uk039s-best-singles,Europe,Examples,Case Studies,100,0.002325581,1,210,2.8,4600,61.333333333,1,75,430
Szczecin,Poland,11/20/2014,organic,/gallery/bike-collisions,Europe,Examples,Case Studies,100,0.0017,1,450,1.923076923,10800,46.153846154,0.782,234,460
Cadiz,Spain,11/20/2014,organic,/gallery/unemployment-joe-mako,Europe,Examples,Case Studies,80,0.0039,1,136,1.7,9920,124,0.8736,80,224
Malmo,Sweden,11/20/2014,organic,/gallery/netflix-selector,Europe,Examples,Case Studies,100,0.0027,1,380,3.8,13100,131,1.134,100,420
Poplar,United Kingdom,11/20/2014,organic,/gallery/evaluating-nba-players,Europe,Examples,Case Studies,0,0.0012,1,104,2.6,80,2,0.1488,40,124
Epsom,United Kingdom,11/20/2014,organic,/gallery/topic/Government-and-artco-Data,Europe,Examples,Case Studies,0,0.002,1,160,4,1188,29.7,0.176,40,88
Paris,France,11/20/2014,referral,/gallery/how-burn-most-calories,Europe,Examples,Case Studies,80,0.0023,1,96,1.2,7200,90,0.4968,80,216
Stuttgart,Germany,11/20/2014,referral,/gallery,Europe,Examples,Case Studies,80,0.0013,1,304,3.8,8640,108,0.312,80,240
Altrincham,United Kingdom,11/20/2014,referral,/gallery,Europe,Examples,Case Studies,40,0.0029,1,72,1.8,2120,53,0.464,40,160
London,United Kingdom,11/20/2014,referral,/gallery,Europe,Examples,Case Studies,40,0.032258065,1,44,1.1,5040,126,4,40,124
Teddington,United Kingdom,11/20/2014,referral,/gallery,Europe,Examples,Case Studies,0,0.0021,1,84,1.05,1108,13.85,0.2688,80,128
London,United Kingdom,11/20/2014,referral,/gallery/how-burn-most-calories,Europe,Examples,Case Studies,40,0.0033,1,72,1.8,4040,101,0.792,40,240
London,United Kingdom,11/20/2014,referral,/gallery/why-do-customers-change-banks,Europe,Examples,Case Studies,40,0.0028,1,144,3.6,2440,61,0.4032,40,144
Berne,Switzerland,11/20/2014,(none),/download,Europe,Register,Events/Training,0,0.0024,1,400,2.150537634,8410,45.215053763,0.624,186,260
Paris,France,11/20/2014,organic,/download,Europe,Register,Events/Training,80,0.001,1,216,1.35,632,3.95,0.552,160,552
Frankfurt am Main,Germany,11/20/2014,organic,/download,Europe,Register,Events/Training,0,0.001,1,224,2.8,89736,1121.7,0.168,80,168
Burnley,United Kingdom,11/20/2014,referral,/download,Europe,Register,Events/Training,0,0.037037037,1,164,4.1,1028,25.7,4,40,108
London,United Kingdom,11/20/2014,referral,/download,Europe,Register,Events/Training,40,0.017543860,1,132,3.3,5320,133,4,40,228
London,United Kingdom,11/20/2014,(none),/examples,Europe,Training,Events/Training,40,0.001,1,104,2.6,7240,181,0.128,40,128
Meudon,France,11/20/2014,organic,/examples,Europe,Training,Events/Training,80,0.0012,1,344,4.3,9576,119.7,0.3072,80,256
London,United Kingdom,11/20/2014,referral,/examples,Europe,Training,Events/Training,80,0.004,1,348,4.35,7520,94,1.12,80,280
Bjerringbro,Denmark,11/20/2014,(none),/how-it-works?build=7000.12.1018.2200,Europe,User,User Generated,0,0.025,1,190,2.111111111,2270,25.222222222,10,90,400
Herning,Denmark,11/20/2014,(none),/templates/census,Europe,User,User Generated,0,0.017543860,1,120,1.090909091,175570,1596.090909091,10,110,570
Esbjerg,Denmark,11/20/2014,(none),index.htm,Europe,User,User Generated,50,0.0031,1,170,3.4,5650,113,0.992,50,320
Dresden,Germany,11/20/2014,(none),index.htm,Europe,User,User Generated,16,0.002,1,48,3,2144,134,0.656,16,328
Budapest,Hungary,11/20/2014,(none),index.htm,Europe,User,User Generated,220,0.0022,1,290,1.318181818,306830,1394.681818182,1.188,220,540
Waterford,Ireland,11/20/2014,(none),/,Europe,User,User Generated,0,0.0034,1,380,3.8,1480,14.8,1.36,100,400
Cagliari,Italy,11/20/2014,(none),index.htm,Europe,User,User Generated,40,0.0031,1,88,2.2,2520,63,0.5456,40,176
Empoli,Italy,11/20/2014,(none),index.htm,Europe,User,User Generated,24,0.023809524,1,88,3.666666667,1752,73,8,24,336
Delft,Netherlands,11/20/2014,(none),index.htm,Europe,User,User Generated,48,0.0011,1,96,2,3456,72,0.22,48,200
Moscow,Russia,11/20/2014,(none),index.htm,Europe,User,User Generated,200,0.0028,1,420,2.1,12400,62,1.848,200,660
Istanbul,Turkey,11/20/2014,(none),index.htm,Europe,User,User Generated,100,0.0027,1,350,2.692307692,103360,795.076923077,1.215,130,450
Binfield,United Kingdom,11/20/2014,(none),/,Europe,User,User Generated,0,0.0021,1,160,4,2056,51.4,0.3696,40,176
Belfast,United Kingdom,11/20/2014,(none),/how-it-works,Europe,User,User Generated,40,0.002,1,240,4.615384615,7384,142,0.328,52,164
Edinburgh,United Kingdom,11/20/2014,(none),index.htm,Europe,User,User Generated,36,0.003,1,148,4.111111111,6048,168,0.348,36,116
London,United Kingdom,11/20/2014,(none),index.htm,Europe,User,User Generated,68,0.013157895,1,320,4.705882353,7752,114,4,68,304
Teddington,United Kingdom,11/20/2014,(none),index.htm,Europe,User,User Generated,80,0.0019,1,328,3.28,14124,141.24,0.4408,100,232
Waterford,Ireland,11/20/2014,cpc,/,Europe,User,User Generated,0,0.0015,1,430,4.3,57570,575.7,0.39,100,260
Paris,France,11/20/2014,organic,/faq,Europe,User,User Generated,80,0.0036,1,208,2.6,12320,154,1.5264,80,424
Meudon,France,11/20/2014,organic,/how-it-works,Europe,User,User Generated,0,0.0023,1,48,1.5,3720,116.25,0.6624,32,288
Aalen,Germany,11/20/2014,organic,/,Europe,User,User Generated,80,0.0014,1,232,2.9,14240,178,0.392,80,280
Budapest,Hungary,11/20/2014,organic,/,Europe,User,User Generated,100,0.003846154,1,460,2.3,5700,28.5,2,200,520
Dublin,Ireland,11/20/2014,organic,/how-it-works?build=7000.12.1018.2200,Europe,User,User Generated,0,0.003,1,740,3.7,1480,7.4,0.9,200,300
Katwijk Aan Zee,Netherlands,11/20/2014,organic,/,Europe,User,User Generated,0,0.0024,1,288,3.6,2136,26.7,0.4608,80,192
Basle,Switzerland,11/20/2014,organic,/,Europe,User,User Generated,100,0.0015,1,150,2.678571429,790,14.107142857,0.675,56,450
London,United Kingdom,11/20/2014,organic,/,Europe,User,User Generated,40,0.0015,1,380,4.75,1108,13.85,0.276,80,184
Oxford,United Kingdom,11/20/2014,organic,/,Europe,User,User Generated,0,0.0035,1,88,2.2,712,17.8,0.812,40,232
London,United Kingdom,11/20/2014,organic,/node/1658,Europe,User,User Generated,0,0.004,1,184,1.916666667,13492,140.541666667,0.736,96,184
Stuttgart,Germany,11/20/2014,referral,/how-it-works,Europe,User,User Generated,0,0.0037,1,168,4.2,1264,31.6,0.9472,40,256
Esztergom,Hungary,11/20/2014,referral,/,Europe,User,User Generated,0,0.030303030,1,350,2.1875,490,3.0625,10,160,330
Diemen,Netherlands,11/20/2014,referral,/how-it-works,Europe,User,User Generated,80,0.0024,1,608,2.171428571,49840,178,0.9984,280,416
St Petersburg,Russia,11/20/2014,referral,/,Europe,User,User Generated,0,0.043478261,1,300,1.666666667,1880,10.444444444,10,180,230
Zurich,Switzerland,11/20/2014,referral,/,Europe,User,User Generated,100,0.001923077,1,180,1.8,8300,83,1,100,520
Morpeth,United Kingdom,11/20/2014,referral,/,Europe,User,User Generated,0,0.0012,1,48,1.2,1028,25.7,0.1152,40,96
Toronto,Canada,11/20/2014,(none),/gallery/mapping-violence-guatemala,North America,Examples,Case Studies,60,0.0011,1,108,1.8,5400,90,0.33,60,300
Los Gatos,United States,11/20/2014,(none),/gallery/money-behind-california-ballots,North America,Examples,Case Studies,10,0.0028,1,15,1.5,760,76,0.112,10,40
San Francisco,United States,11/20/2014,(none),/gallery/money-behind-california-ballots,North America,Examples,Case Studies,20,0.0012,1,80,4,3480,174,0.0504,20,42
Cary,United States,11/20/2014,(none),/gallery/ontario-baby-names-1,North America,Examples,Case Studies,10,0.0013,1,47,4.7,1750,175,0.0507,10,39
Charlotte,United States,11/20/2014,(none),/gallery/ontario-baby-names-1,North America,Examples,Case Studies,10,0.0023,1,27,2.7,208,20.8,0.0483,10,21
Denver,United States,11/20/2014,(none),/gallery/ontario-baby-names-1,North America,Examples,Case Studies,10,0.003,1,27,2.7,1236,123.6,0.153,10,51
Oklahoma City,United States,11/20/2014,(none),/gallery/ontario-baby-names-1,North America,Examples,Case Studies,10,0.0032,1,14,1.4,1450,145,0.0672,10,21
Portland,United States,11/20/2014,(none),/gallery/ontario-baby-names-1,North America,Examples,Case Studies,10,0.0029,1,36,3.6,820,82,0.1334,10,46
Renton,United States,11/20/2014,(none),/gallery/ontario-baby-names-1,North America,Examples,Case Studies,10,0.0017,1,25,2.5,20,2,0.1003,10,59
Sacramento,United States,11/20/2014,(none),/gallery/ontario-baby-names-1,North America,Examples,Case Studies,10,0.0031,1,14,1.4,1513,151.3,0.1705,10,55
Silver Spring,United States,11/20/2014,(none),/gallery/ontario-baby-names-1,North America,Examples,Case Studies,10,0.0012,1,11,1.1,550,55,0.054,10,45
Smyrna,United States,11/20/2014,(none),/gallery/ontario-baby-names-1,North America,Examples,Case Studies,10,0.0034,1,21,2.1,1230,123,0.17,10,50
Burlington,United States,11/20/2014,email,/gallery/ontario-baby-names-1,North America,Examples,Case Studies,10,0.0029,1,16,1.6,1300,130,0.1073,10,37
Milford,United States,11/20/2014,email,/gallery/ontario-baby-names-1,North America,Examples,Case Studies,10,0.0023,1,12,1.2,1090,109,0.0529,10,23
Minneapolis,United States,11/20/2014,email,/gallery/ontario-baby-names-1,North America,Examples,Case Studies,10,0.0028,1,50,5,400,40,0.1232,10,44
Topeka,United States,11/20/2014,email,/gallery/ontario-baby-names-1,North America,Examples,Case Studies,10,0.0032,1,20,2,1500,150,0.0992,10,31
West Jordan,United States,11/20/2014,email,/gallery/ontario-baby-names-1,North America,Examples,Case Studies,10,0.0014,1,38,3.8,1650,165,0.0504,10,36
Fredericton,Canada,11/20/2014,organic,/gallery,North America,Examples,Case Studies,60,0.0038,1,264,4.4,6000,100,1.2084,60,318
